;section;speaker;role;text
46;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Yeah, I think, you know, a couple of things I didn't add was, we're going to, of course, have media drives next year. And then, of course, later, it really in the end of '22, probably more in '23, we're going to start with customer test drives, but also leading up to all that, I think it's about creating brand awareness globally. And as I mentioned before, we do have two amazing prints of agencies that we have hired, that together with our [indiscernible] teams, we are creating campaigns that we're going to launch all over Europe and all over the US. And they are going to be starting that launch already in the 17th of November. So I'm really confident in our marketing plan. I think it's phenomenal. And when we show the first experienced vendor sometime I think in the second quarter next year in LA, we have also taken a very different approach there. It's going to be really, really different. Super cool. I think that will attract a lot of attention as well.
47;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Great. Thanks, Henrik. Can we go back Erin to the analysts queue? We have a little bit more time.
48;Q&A;Operator;Operator;Absolutely. The next question is from Jeff Osborne with Cowen. Please proceed.
49;Q&A;Jeff Osborne - Cowen;Analyst;Hey, great. I had two quick ones. So one on the commonality between Ocean and the other platforms. Can you talk about what the longer-term OpEx and CapEx implications are of that? And the second question I had was just if you could further elaborate on the decision to use silicon carbide what the incremental cost is relative to the incremental range at the beginning?
50;Q&A;Henrik Fisker - Chief Executive Officer;Firm;So I think on the second one just to have that first, I don't think we want to give anything away to our competitors on that one. But I wanted to highlight that we have that high tech in our vehicles even in the vehicle at $37,499. And I think that was really unique. And that comes back to the value that we offer our customers. In terms of the shared parts between all our platforms actually, we have spent a lot of time internally looking at how we can drive down cost long-term by using common parts in many areas of our vehicles. It's still a program that we're in the middle of executing. So we'll probably maybe talk more about that later. But maybe Geeta has a few things you want to talk about in terms of CapEx.
51;Q&A;Geeta Gupta-Fisker - Chief Financial Officer and Chief Operating Officer;Firm;Yeah. Hey, Jeff, great question, it's Geeta here. So, Jeff if you look at the Ocean in terms of OpEx and focus a little bit on R&D and where we'd spent money, we obviously have hired, as we said, over 300 people and we'll keep hiring. So we're developing a culture of engineering, we're developing a deep learning in vehicle integration. Second area we obviously have third-party suppliers. Magna Steyr is a development partner. And again, we've learned a lot together. Third area is, we had supply ED&D. So that's clearly the synergies that Henrik talked about, where there are certain carryover parts, where once you've engineered them, you simply carryover the data and that creates the commonality of parts. And the fourth critical area which Burkhard talked about, I think last earnings and today as well, is everything you do in prototype and testing. So to create a globally homologated vehicle, all your crash model we'll see, how you truly look at optimizing, testing, how do you look at data? How do you put together a very high quality vehicle? So those are clearly the key areas. The other areas, when it comes to OpEx is obviously software. So all the different control units, different parts, you've got a program software, we're learning as a team. And clearly, you can carryover some of that stack, some of that according on to your next generation of parts. Now, all of that OpEx you can use across all your various different models. Now, let's come to CapEx. In some cases, we might be able to use existing tooling, increase capacity, lower the cost of parts across Ocean and other models. But in some cases, for example, when it comes to body in white or it comes to Class A parts or it comes to heavy parts, we may have to do local stamping. So I think that there'll be huge synergies, a lot of things and more importantly, we'll also be able to with the commonality of parts achieve our aggressive timelines.
52;Q&A;Jeff Osborne - Cowen;Analyst;Appreciate it.
53;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks, Jeff. Next question, Erin, please.
54;Q&A;Operator;Operator;Thank you, Mr. Osborne. The next question comes from Pavel Molchanov with Raymond James. Please proceed.
55;Q&A;Pavel Molchanov - Raymond James;Analyst;Thanks for taking the question. I remember earlier this year, you were lobbying for an adjustment to the EV tax credits, partly to make sure there was a cap on to the vehicle price of eligibility. And it looks like something similar will be included in the built that better plan. Given what you've seen from that from the legislation? Are you happy with how it turned out?
56;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Well, first of all, when you say lobbying, I just want to make clear to everyone in the call, we don't spend any money on lobbying. Our lobbying is our internal communication team, where putting things on the internet or on LinkedIn or wherever you can do it. And of course, they'll call somebody. But coming back to the plan, are you happy with how it turned out? I don't think it's turned out yet. I don't think it has been voted in yet. And I personally, I don't want to talk politics. But I personally doubt it's going to be voted in exactly this way, because if you have noticed there is pretty much every major car company in the world, except for the three big ones in Detroit have pretty much spoken out against this plan here. It also violates agreements that the US have with Canada, Mexico and Europe. So I think it remains to be seen whether it comes out this way as it is now. However, I could imagine and I think it still makes a lot of sense to have a cap on, you know, the price of the EV that gets a tax credit. And I think whether it's going to be whatever is proposed now, maybe not. But I think that will kind of from a cap. And I think that's, of course a big advantage for us, because we have a very affordable vehicle and it's a vehicle that pretty much fits in everybody's driveway. It's something everybody wants, and you know, with a reasonable good EV credit, everybody might be able to afford it. And I think we're standing really, really well against the competition. And end of the day, the automotive industry is all about products, it's not just about size. We have seen big car companies fail the models because they weren't desirable, even if they're the biggest in the world. You've seen some of the biggest car companies lose huge amount of market share. I think the market in five years will look nothing like it looks today, and I think by 2030, 50% of all vehicles sold will be sold by none of the three small car companies of today. So it's an exciting time, and we're really excited to take part of it.
57;Q&A;Pavel Molchanov - Raymond James;Analyst;Okay. And let me follow-up on the mix of reservations. You've broken out, thank you for that between fleet and consumer. Can you also give a geographic breakdown for example, North America versus Europe versus China?
58;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Yeah. We don't - we are not taking any reservations in China at this point. We're in the middle of setting up a Chinese entity that should be set up later this year or I think within a month or so fairly quickly. And we need to have a Chinese entity to be able to actually take reservations, we got a data protection taking deposits and all that stuff. So that's going to probably not going to happen before beginning of next year. And I'm really excited about that. I think we have a huge potential in China. In terms of geographically between US and Europe, we have done, I mean, zero brand awareness in Europe, we are going to go to a European event next year in the February. And that's really when we start the big push over there. So right now, just that off my tongue, I would say, probably about, I would say, 80%, 85% of our reservations come from the US or North America. But I expect that rapidly pertains to close to  It could even go higher in Europe, when we think about in our state, about half of all vehicles in Europe are sold business to business, meaning, large banks or other companies are buying vehicles or leasing vehicles for their cost, for their employees as an incentive, because of certain tax rules, et cetera. And we have already as you know, secured several of these orders way ahead of even getting any specifications for a vehicle. So we see a huge potential for our type of vehicle to be sold into these B2B. And also, you know, we are targeting the top 100 companies in Europe that is focusing on ESG and sustainability. And we think we are the most attractive vehicle on the planet right now to them. And alone between these companies, you're talking about hundreds of thousands of vehicles. And I think we have a very good chance to take a huge chunk out of that in Europe. So, we'll see where it goes. But I have high expectations for sales in Europe or reservation in Europe on B2B.
59;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks, Pavel. Appreciate it. Thank you. Erin, we have time for one more question, please.
60;Q&A;Operator;Operator;Absolutely. The next question comes from Itay Michaeli with Citi. Please proceed.
61;Q&A;Itay Michaeli - Citi;Analyst;Thanks, everybody. Good afternoon. Just two quick ones for me. One, just about back to the Ocean with most of the sourcing now largely complete. Maybe just talk about how you're feeling about the prior, you know, gross margin targets for the company that sort of at the mid-range ASPs. And secondly, maybe for Henrik, you mentioned, flex lease a couple of times on the call, I'm just curious, just how prominent will flex fleet be as part of the initial new strategy for the Ocean, and meaning, how comfortable are you taking the mix of flex lease to something, you know that that's very material very high in terms of the overall percentage of volume?
62;Q&A;Henrik Fisker - Chief Executive Officer;Firm;The flexible lease, I think is a huge competitive advantage. However, it also is, of course, a product that really starts to make you a lot of money about three to four years later. And after four years, you're kind of printing money, because your car has been paid off, you're just, I mean, you're just having ownership of a product that somebody is just paying in money for every month with little or no service and be on top of that, we can sell various products over the air to these customers again and again and again, every time somebody new comes in. And like I mentioned over a 12-year period, you're talking about more than 250% profit margin, that's without selling any additional products. So it's a phenomenal, I think product that you have come up with and it's something that traditional carmakers probably can't do because of dealers. And we can do it. So I'm super excited about that. And we have some, you know, internal discussions about how fast should we roll it out, I think we're going to - we're definitely going to go out and test the waters immediately when we [technical difficulty] with a you know a fairly lower number of vehicles, because you know, we're still a startup and we'd like to get some cash in first. But as we test the waters, if we see that this is a huge success, we can obviously decide together with the right financial partners, if you want to take a much bigger market share than we have planned right now. And I think there's a good potential that we most likely will be rally in a situation in the beginning where we probably can't build enough vehicles in the very beginning to fulfill the market. But once the full ramp up, it could be a way for us to increase our market share faster than we have planned today, in my opinion.
63;Q&A;Geeta Gupta-Fisker - Chief Financial Officer and Chief Operating Officer;Firm;Yeah, Itay I'll take the question you asked about gross margins. So I think we feel really good about the content we put in the car and the margins with respect to the content we've put in the car. Obviously, the world is still in trauma when it comes to logistics and there are still some unknowns. So I think hopefully as we get closer to our ramp up and volume deliveries, we have more visibility on there now. What - let me touch on a couple of super exciting things. So the first thing is obviously with the battery announcement, which being the biggest share of the bomb, we are very excited about what we've achieved for the volumes. And I think with our relationship with CATL is only going to get better. The second thing I want to say is that, when we originally was sourcing, commodity prices were quite high and we feel good where we are with the bomb, and we need to monitor the commodity prices go up. Now, one thing that I want to highlight, which is really exciting, that there is obviously the difference between aluminum and steel. And the research we've done shows that steel futures, they look far more favorable than aluminum. And there is always an upside and downside risk. But I think based on what we source the car, and where we see the commodity pricing, I think we're in a really, really good place, we're in a very balanced place, Itay.
64;Q&A;Henrik Fisker - Chief Executive Officer;Firm;I just want to add one more thing about the flexible lease on the potential. If you saw the announcement about Hertz, which wants to lease a vehicle, Tesla to Uber driver for $300, I think it was about $330 a week. I mean, it's about $1,300 a month. We are leasing our base vehicle on the flexible lease for $379 a month. So I can double that price make a 100% profit margin. And I think both the Uber guy and us will be really happy. So there you see the advantages we have. Thank you.
65;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks, Itay - thanks a lot. And thanks, everyone for joining the call. Erin, that's all we have time for, so if you could close out the call and we'll talk to everybody next quarter. Thanks everybody.
66;Q&A;Operator;Operator;That concludes the Fisker, Inc's third quarter 2021 earnings call. Thank you for your participation and enjoy the rest of your day.
